z [Angs],Charge Dens [e/Angs3],Potential [V]
10.700000000000001,-0.005599167342522937,-1.6878388373916628
10.8,0.008673550342439752,-1.672560465516649
10.9,-0.007020433867526683,-1.6729769940444912
11.0,-0.004307319907800109,-1.6606899575977316
11.100000000000001,0.0026275475486176843,-1.640608770625855
11.200000000000001,-0.011336275477458939,-1.6252821645869464
11.3,0.01601662437439165,-1.5894424229191937
11.4,-0.005589009473581418,-1.5825849681375916
11.5,-0.0009379411451747628,-1.5656141291505277
11.600000000000001,0.021722747600375167,-1.5469460736516516
11.700000000000001,0.0031287940680305715,-1.5675856080789086
11.8,-0.006675526495430163,-1.5938867354340973
11.9,-0.0038608253245862667,-1.6081084121207667
12.0,0.0014425793020362428,-1.615343875947665
12.100000000000001,-0.003935373174838289,-1.6251897054927285
12.200000000000001,-0.0070100459126275945,-1.6279144268884655
12.3,-0.003119573586323589,-1.6179543804469938
12.4,0.0075748813733505635,-1.6023494256573017
12.5,-0.0013766383709376893,-1.6004513157032827
12.600000000000001,0.016860792709304268,-1.5960621609902486
12.700000000000001,0.018649497986841925,-1.6221828265743186
12.8,-0.026666348919574166,-1.682049997558217
12.9,-0.004109650505142827,-1.6936640687298319
13.0,-0.007948839228015571,-1.6978416746914478
13.100000000000001,0.007065292107550304,-1.6876357542911258
13.200000000000001,0.0008051900693601757,-1.6902145704251077
13.3,-0.004040275328085017,-1.6942503882994402
13.4,-0.011836542001126629,-1.690975276234953
13.5,0.0034286301575501654,-1.6662817898615125
13.600000000000001,-0.013394615932159862,-1.6477924536591608
13.700000000000001,0.006317725788007707,-1.605065388419697
13.8,0.007245969236156085,-1.5737703288873035
13.9,0.005181697676771186,-1.5555869434668557
14.0,-0.0035665879933674933,-1.5467799063402332
14.100000000000001,0.008465254377223681,-1.531519082572161
14.200000000000001,0.009045284032848266,-1.5315762449908175
14.3,-0.0043512663256955915,-1.5480009646848898
14.4,-0.009156313289928011,-1.5565520122479655
14.5,0.001077858972482484,-1.5485345936732893
14.600000000000001,0.011884348750087974,-1.5424675747104812
14.700000000000001,0.004343298534202035,-1.5579054369810033
14.8,-0.005612333372317104,-1.581202553561795
14.9,-0.011839550161979276,-1.5943440810437286
15.0,0.002731580488246935,-1.5860617909111239
15.100000000000001,0.002682768178433997,-1.5827223306478135
15.200000000000001,-0.010728644028628328,-1.5842373737541788
15.3,0.003260352105546658,-1.5663387981186188
15.4,-0.0024033841740315576,-1.554339871364372
15.5,0.0014220590433020339,-1.5379919901737122
15.600000000000001,0.019022569584485192,-1.524217343030293
15.700000000000001,0.0015786282765759719,-1.544864279119525
15.8,0.009616348857829835,-1.5683677632883661
15.9,-0.004195199872847452,-1.6092721538454808
16.0,-0.004941104460474279,-1.6425852765163294
16.1,-0.0038912989314108244,-1.6669574073988607
16.2,0.0003325764691113017,-1.6842881830398984
16.3,0.0070296117407230045,-1.7022207600601726
16.400000000000002,0.005323336887909602,-1.7328735095341086
16.5,-0.006561156731114619,-1.773158905268006
16.6,-0.021499317092172402,-1.8015718038863278
16.7,-0.0039604355008089325,-1.7910814129439652
16.8,0.0011496031827330302,-1.773424563252518
16.900000000000002,0.001231888738521041,-1.7578479352400258
17.0,0.000987741972435029,-1.7445004256732894
17.1,0.0017519596979438427,-1.732940247852951
17.2,-0.003471221624806636,-1.7245502635385606
17.3,-0.014903340686145832,-1.709879059247723
17.400000000000002,0.016591592138949743,-1.6682400691593697
17.5,-0.004617850733495547,-1.6566237774891488
17.6,0.0003690834410454201,-1.636651425788619
17.7,0.0047419267165396085,-1.6173469353004835
17.8,0.0018463545924616348,-1.6066230219226953
17.900000000000002,0.010155729994284081,-1.5992401108211403
18.0,-0.0014651362475800388,-1.6102341231806276
18.1,0.0027117249222790327,-1.6185769527401712
18.2,-0.0001062230170772122,-1.6318266832681436
18.3,-0.00042555676107515836,-1.6448842018866168
18.400000000000002,-0.008168605404301511,-1.6571716700969938
18.5,-0.002602723830306741,-1.654677942235507
18.6,0.005106664089497633,-1.6474745522771856
18.7,-0.0030071126832856452,-1.649511736375751
18.8,-0.0006526345577904804,-1.646107511570126
18.900000000000002,0.0066798555201132955,-1.6415223361756937
19.0,-0.004118606814083714,-1.6490244448753737
19.1,-0.0016985201038731484,-1.649073881809335
19.200000000000003,0.0023948283850908814,-1.6460498248670756
19.3,0.0056089587782727724,-1.6473592405516102
